stage,deployment_id,injection_type,deployment_start_timestamp,failed_deployment,detection_timestamp,recovery_timestamp,recovery_duration_seconds,rollback_used,first_healthy_timestamp,deployment_duration_seconds
"0","stage0-1774551608076","fail","2026-03-26T19:00:08.076Z","true","2026-03-26T19:01:37.334Z","2026-03-26T19:04:43.675Z","186","manual","2026-03-26T19:00:58.244Z","50"
"0","stage0-1774651630529","fail","2026-03-27T22:47:10.529Z","true","2026-03-27T22:48:11.949Z","2026-03-27T22:50:47.214Z","155","manual","2026-03-27T22:47:48.887Z","38"
"0","stage0-1774707072703","fail","2026-03-28T14:11:12.703Z","true","2026-03-28T14:12:18.900Z","2026-03-28T14:14:58.203Z","159","manual","2026-03-28T14:11:50.840Z","38"
"0","stage0-1774708255998","fail","2026-03-28T14:30:55.998Z","true","2026-03-28T14:31:45.172Z","2026-03-28T14:34:30.502Z","165","manual","2026-03-28T14:31:30.138Z","34"
"0","stage0-1774708639806","fail","2026-03-28T14:37:19.806Z","true","2026-03-28T14:38:33.003Z","2026-03-28T14:41:22.301Z","169","manual","2026-03-28T14:38:16.970Z","57"
"0","stage0-1774708986129","fail","2026-03-28T14:43:06.129Z","true","2026-03-28T14:44:02.285Z","2026-03-28T14:46:51.623Z","169","manual","2026-03-28T14:43:44.246Z","38"
"0","stage0-1774709372781","fail","2026-03-28T14:49:32.781Z","true","2026-03-28T14:50:23.952Z","2026-03-28T14:53:09.252Z","165","manual","2026-03-28T14:50:10.910Z","38"
"0","stage0-1774709693577","fail","2026-03-28T14:54:53.577Z","true","2026-03-28T14:55:28.698Z","2026-03-28T14:58:03.992Z","155","manual","2026-03-28T14:55:20.677Z","27"
"0","stage0-1774709983967","fail","2026-03-28T14:59:43.967Z","true","2026-03-28T15:00:25.089Z","2026-03-28T15:03:08.398Z","163","manual","2026-03-28T15:00:15.067Z","31"
"0","stage0-1774710445820","fail","2026-03-28T15:07:25.820Z","true","2026-03-28T15:08:33.976Z","2026-03-28T15:11:30.319Z","176","manual","2026-03-28T15:08:27.960Z","62"
